day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Safety, Etiquette, and Equipment Orientation",Orientation and setup,Communications Safety and Etiquette,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Inspect assigned intercom equipment, establish professional call etiquette, verify primary and backup talk paths, and document custody and battery controls.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
134,DAY_134,14,Redundancy and Mission-Critical Operations,Guided laboratory,Network And Matrix Redundancy — Configuration Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Complete a supervised applied lab for network and matrix redundancy, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
135,DAY_135,14,Redundancy and Mission-Critical Operations,Applied practice,Spares Batteries And Rapid Replacement — Design and Technique,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Explain and demonstrate spares batteries and rapid replacement through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
136,DAY_136,14,Redundancy and Mission-Critical Operations,Operations and measurement,Spares Batteries And Rapid Replacement — Operations and Measurement,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Complete a supervised applied lab for spares batteries and rapid replacement, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
137,DAY_137,14,Redundancy and Mission-Critical Operations,Troubleshooting laboratory,Failure Drills Escalation And Recovery — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Explain and demonstrate failure drills escalation and recovery through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
138,DAY_138,14,Redundancy and Mission-Critical Operations,Safety and quality review,"Failure Drills Escalation And Recovery — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Complete a supervised applied lab for failure drills escalation and recovery, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
139,DAY_139,14,Redundancy and Mission-Critical Operations,Integration and documentation,"Redundancy and Mission-Critical Operations — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Integrate the four redundancy and mission-critical operations skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
140,DAY_140,14,Redundancy and Mission-Critical Operations,Assessment and presentation,Redundancy and Mission-Critical Operations — Assessment Project,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Plan, execute, verify, present, and safely close an assessment project covering the complete redundancy and mission-critical operations phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
141,DAY_141,15,"Recording, Logging, and Compliance",Orientation and setup,Communications Recording Boundaries — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Explain and demonstrate communications recording boundaries through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
142,DAY_142,15,"Recording, Logging, and Compliance",Concept development,Communications Recording Boundaries — Applied Baseline Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Complete a supervised applied lab for communications recording boundaries, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
143,DAY_143,15,"Recording, Logging, and Compliance",Guided laboratory,Event Logs Timestamps And Incident Notes — Architecture and Components,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Explain and demonstrate event logs timestamps and incident notes through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
144,DAY_144,15,"Recording, Logging, and Compliance",Guided laboratory,Event Logs Timestamps And Incident Notes — Configuration Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Complete a supervised applied lab for event logs timestamps and incident notes, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
145,DAY_145,15,"Recording, Logging, and Compliance",Applied practice,Privacy Confidentiality And Retention — Design and Technique,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Explain and demonstrate privacy confidentiality and retention through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
146,DAY_146,15,"Recording, Logging, and Compliance",Operations and measurement,Privacy Confidentiality And Retention — Operations and Measurement,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Complete a supervised applied lab for privacy confidentiality and retention, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
147,DAY_147,15,"Recording, Logging, and Compliance",Troubleshooting laboratory,Evidence Export And Secure Handover — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Explain and demonstrate evidence export and secure handover through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
148,DAY_148,15,"Recording, Logging, and Compliance",Safety and quality review,"Evidence Export And Secure Handover — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Complete a supervised applied lab for evidence export and secure handover, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
149,DAY_149,15,"Recording, Logging, and Compliance",Integration and documentation,"Recording, Logging, and Compliance — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Integrate the four recording, logging, and compliance skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
150,DAY_150,15,"Recording, Logging, and Compliance",Assessment and presentation,"Recording, Logging, and Compliance — Assessment Project",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | logging tools | documentation | secure storage | time reference,"Plan, execute, verify, present, and safely close an assessment project covering the complete recording, logging, and compliance phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
151,DAY_151,16,"Maintenance, Firmware, and Asset Management",Orientation and setup,Inspection Cleaning And Connector Care — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Explain and demonstrate inspection cleaning and connector care through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
152,DAY_152,16,"Maintenance, Firmware, and Asset Management",Concept development,Inspection Cleaning And Connector Care — Applied Baseline Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Complete a supervised applied lab for inspection cleaning and connector care, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
153,DAY_153,16,"Maintenance, Firmware, and Asset Management",Guided laboratory,Battery Health And Lifecycle — Architecture and Components,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Explain and demonstrate battery health and lifecycle through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
154,DAY_154,16,"Maintenance, Firmware, and Asset Management",Guided laboratory,Battery Health And Lifecycle — Configuration Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Complete a supervised applied lab for battery health and lifecycle, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
155,DAY_155,16,"Maintenance, Firmware, and Asset Management",Applied practice,Firmware Compatibility And Rollback — Design and Technique,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Explain and demonstrate firmware compatibility and rollback through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
156,DAY_156,16,"Maintenance, Firmware, and Asset Management",Operations and measurement,Firmware Compatibility And Rollback — Operations and Measurement,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Complete a supervised applied lab for firmware compatibility and rollback, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
157,DAY_157,16,"Maintenance, Firmware, and Asset Management",Troubleshooting laboratory,Inventory Calibration And Maintenance Records — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Explain and demonstrate inventory calibration and maintenance records through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
158,DAY_158,16,"Maintenance, Firmware, and Asset Management",Safety and quality review,"Inventory Calibration And Maintenance Records — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Complete a supervised applied lab for inventory calibration and maintenance records, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
159,DAY_159,16,"Maintenance, Firmware, and Asset Management",Integration and documentation,"Maintenance, Firmware, and Asset Management — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Integrate the four maintenance, firmware, and asset management skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
160,DAY_160,16,"Maintenance, Firmware, and Asset Management",Assessment and presentation,"Maintenance, Firmware, and Asset Management — Assessment Project",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | maintenance kit | vendor software | asset register | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete maintenance, firmware, and asset management phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
161,DAY_161,17,Large Events and Multi-Team Integration,Orientation and setup,Festival And Conference Channel Plans — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Explain and demonstrate festival and conference channel plans through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
162,DAY_162,17,Large Events and Multi-Team Integration,Concept development,Festival And Conference Channel Plans — Applied Baseline Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Complete a supervised applied lab for festival and conference channel plans, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
163,DAY_163,17,Large Events and Multi-Team Integration,Guided laboratory,Broadcast Theatre And Worship Workflows — Architecture and Components,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Explain and demonstrate broadcast theatre and worship workflows through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
164,DAY_164,17,Large Events and Multi-Team Integration,Guided laboratory,Broadcast Theatre And Worship Workflows — Configuration Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Complete a supervised applied lab for broadcast theatre and worship workflows, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
165,DAY_165,17,Large Events and Multi-Team Integration,Applied practice,Temporary Infrastructure And Public Areas — Design and Technique,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Explain and demonstrate temporary infrastructure and public areas through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
166,DAY_166,17,Large Events and Multi-Team Integration,Operations and measurement,Temporary Infrastructure And Public Areas — Operations and Measurement,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Complete a supervised applied lab for temporary infrastructure and public areas, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
167,DAY_167,17,Large Events and Multi-Team Integration,Troubleshooting laboratory,Coordination Rehearsals And Change Control — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Explain and demonstrate coordination rehearsals and change control through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
168,DAY_168,17,Large Events and Multi-Team Integration,Safety and quality review,"Coordination Rehearsals And Change Control — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Complete a supervised applied lab for coordination rehearsals and change control, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
169,DAY_169,17,Large Events and Multi-Team Integration,Integration and documentation,"Large Events and Multi-Team Integration — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Integrate the four large events and multi-team integration skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
170,DAY_170,17,Large Events and Multi-Team Integration,Assessment and presentation,Large Events and Multi-Team Integration — Assessment Project,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | full intercom inventory | site plans | production documents | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete large events and multi-team integration phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
171,DAY_171,18,Intercom Capstone and Professional Readiness,Orientation and setup,Capstone Requirements And System Plan — Foundations and Vocabulary,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Explain and demonstrate capstone requirements and system plan through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
172,DAY_172,18,Intercom Capstone and Professional Readiness,Concept development,Capstone Requirements And System Plan — Applied Baseline Lab,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for capstone requirements and system plan, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
173,DAY_173,18,Intercom Capstone and Professional Readiness,Guided laboratory,Deployment Configuration And Verification — Architecture and Components,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Explain and demonstrate deployment configuration and verification through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
174,DAY_174,18,Intercom Capstone and Professional Readiness,Guided laboratory,Deployment Configuration And Verification — Configuration Lab,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for deployment configuration and verification, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
175,DAY_175,18,Intercom Capstone and Professional Readiness,Applied practice,Live Exercise Troubleshooting And Backup — Design and Technique,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Explain and demonstrate live exercise troubleshooting and backup through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
176,DAY_176,18,Intercom Capstone and Professional Readiness,Operations and measurement,Live Exercise Troubleshooting And Backup — Operations and Measurement,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for live exercise troubleshooting and backup, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
177,DAY_177,18,Intercom Capstone and Professional Readiness,Troubleshooting laboratory,Portfolio Defense Handover And Strike — Troubleshooting and Failure Modes,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Explain and demonstrate portfolio defense handover and strike through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
178,DAY_178,18,Intercom Capstone and Professional Readiness,Safety and quality review,"Portfolio Defense Handover And Strike — Safety, Quality, and Verification",capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for portfolio defense handover and strike, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
179,DAY_179,18,Intercom Capstone and Professional Readiness,Integration and documentation,"Intercom Capstone and Professional Readiness — Integration, Documentation, and Handover",capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Integrate the four intercom capstone and professional readiness skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
180,DAY_180,18,Intercom Capstone and Professional Readiness,Assessment and presentation,Intercom Capstone and Professional Readiness — Assessment Project,capstone,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | all assigned intercom tools | PPE | documentation | presentation tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete intercom capstone and professional readiness phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
