day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,Electrical and Working-at-Height Safety,Orientation and setup,Electrical and Working-at-Height Safety,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised PPE, electrical, rigging-hardware, working-at-height, and exclusion-zone readiness check before any fixture is energized or suspended.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
141,DAY_141,15,Troubleshooting and Maintenance,Orientation and setup,No Power And Intermittent Power — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Explain and demonstrate no power and intermittent power through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
142,DAY_142,15,Troubleshooting and Maintenance,Concept development,No Power And Intermittent Power — Applied Baseline Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Complete a supervised applied lab for no power and intermittent power, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
143,DAY_143,15,Troubleshooting and Maintenance,Guided laboratory,Dmx Loss Wrong Address And Flicker — Architecture and Components,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Explain and demonstrate DMX loss wrong address and flicker through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
144,DAY_144,15,Troubleshooting and Maintenance,Guided laboratory,Dmx Loss Wrong Address And Flicker — Configuration Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Complete a supervised applied lab for DMX loss wrong address and flicker, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
145,DAY_145,15,Troubleshooting and Maintenance,Applied practice,Optical Mechanical Thermal And Fan Faults — Design and Technique,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Explain and demonstrate optical mechanical thermal and fan faults through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
146,DAY_146,15,Troubleshooting and Maintenance,Operations and measurement,Optical Mechanical Thermal And Fan Faults — Operations and Measurement,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Complete a supervised applied lab for optical mechanical thermal and fan faults, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
147,DAY_147,15,Troubleshooting and Maintenance,Troubleshooting laboratory,Cleaning Inspection Spares And Service Records — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Explain and demonstrate cleaning inspection spares and service records through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
148,DAY_148,15,Troubleshooting and Maintenance,Safety and quality review,"Cleaning Inspection Spares And Service Records — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Complete a supervised applied lab for cleaning inspection spares and service records, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
149,DAY_149,15,Troubleshooting and Maintenance,Integration and documentation,"Troubleshooting and Maintenance — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Integrate the four troubleshooting and maintenance skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
150,DAY_150,15,Troubleshooting and Maintenance,Assessment and presentation,Troubleshooting and Maintenance — Assessment Project,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | lighting lab | testers | maintenance kit | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete troubleshooting and maintenance phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
151,DAY_151,16,Advanced Programming and Timecode,Orientation and setup,Macros Executors Pages And Layouts — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Explain and demonstrate macros executors pages and layouts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
152,DAY_152,16,Advanced Programming and Timecode,Concept development,Macros Executors Pages And Layouts — Applied Baseline Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Complete a supervised applied lab for macros executors pages and layouts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
153,DAY_153,16,Advanced Programming and Timecode,Guided laboratory,Cue Timing Tracking And Marking — Architecture and Components,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Explain and demonstrate cue timing tracking and marking through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
154,DAY_154,16,Advanced Programming and Timecode,Guided laboratory,Cue Timing Tracking And Marking — Configuration Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Complete a supervised applied lab for cue timing tracking and marking, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
155,DAY_155,16,Advanced Programming and Timecode,Applied practice,Midi Osc And Timecode Concepts — Design and Technique,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Explain and demonstrate MIDI OSC and timecode concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
156,DAY_156,16,Advanced Programming and Timecode,Operations and measurement,Midi Osc And Timecode Concepts — Operations and Measurement,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Complete a supervised applied lab for MIDI OSC and timecode concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
157,DAY_157,16,Advanced Programming and Timecode,Troubleshooting laboratory,Redundancy Show Control And Recovery — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Explain and demonstrate redundancy show control and recovery through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
158,DAY_158,16,Advanced Programming and Timecode,Safety and quality review,"Redundancy Show Control And Recovery — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Complete a supervised applied lab for redundancy show control and recovery, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
159,DAY_159,16,Advanced Programming and Timecode,Integration and documentation,"Advanced Programming and Timecode — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Integrate the four advanced programming and timecode skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
160,DAY_160,16,Advanced Programming and Timecode,Assessment and presentation,Advanced Programming and Timecode — Assessment Project,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | console | visualizer | playback/timecode tools | fixtures,"Plan, execute, verify, present, and safely close an assessment project covering the complete advanced programming and timecode phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
161,DAY_161,17,Production Management and Site Delivery,Orientation and setup,Survey Schedule Crew And Logistics — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Explain and demonstrate survey schedule crew and logistics through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
162,DAY_162,17,Production Management and Site Delivery,Concept development,Survey Schedule Crew And Logistics — Applied Baseline Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Complete a supervised applied lab for survey schedule crew and logistics, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
163,DAY_163,17,Production Management and Site Delivery,Guided laboratory,Load-In Focus Rehearsal Show And Strike — Architecture and Components,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Explain and demonstrate load-in focus rehearsal show and strike through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
164,DAY_164,17,Production Management and Site Delivery,Guided laboratory,Load-In Focus Rehearsal Show And Strike — Configuration Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Complete a supervised applied lab for load-in focus rehearsal show and strike, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
165,DAY_165,17,Production Management and Site Delivery,Applied practice,Inventory Spares Transport And Custody — Design and Technique,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Explain and demonstrate inventory spares transport and custody through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
166,DAY_166,17,Production Management and Site Delivery,Operations and measurement,Inventory Spares Transport And Custody — Operations and Measurement,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Complete a supervised applied lab for inventory spares transport and custody, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
167,DAY_167,17,Production Management and Site Delivery,Troubleshooting laboratory,Incident Response Documentation And Client Handover — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Explain and demonstrate incident response documentation and client handover through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
168,DAY_168,17,Production Management and Site Delivery,Safety and quality review,"Incident Response Documentation And Client Handover — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Complete a supervised applied lab for incident response documentation and client handover, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
169,DAY_169,17,Production Management and Site Delivery,Integration and documentation,"Production Management and Site Delivery — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Integrate the four production management and site delivery skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
170,DAY_170,17,Production Management and Site Delivery,Assessment and presentation,Production Management and Site Delivery — Assessment Project,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | full inventory | PPE | site documents | communication tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete production management and site delivery phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
171,DAY_171,18,Lighting Capstone and Professional Readiness,Orientation and setup,Capstone Brief Plot And Risk Plan — Foundations and Vocabulary,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Explain and demonstrate capstone brief plot and risk plan through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
172,DAY_172,18,Lighting Capstone and Professional Readiness,Concept development,Capstone Brief Plot And Risk Plan — Applied Baseline Lab,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for capstone brief plot and risk plan, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
173,DAY_173,18,Lighting Capstone and Professional Readiness,Guided laboratory,Rigging Power Patch And Programming — Architecture and Components,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Explain and demonstrate rigging power patch and programming through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
174,DAY_174,18,Lighting Capstone and Professional Readiness,Guided laboratory,Rigging Power Patch And Programming — Configuration Lab,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for rigging power patch and programming, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
175,DAY_175,18,Lighting Capstone and Professional Readiness,Applied practice,Rehearsal Measurement And Remediation — Design and Technique,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Explain and demonstrate rehearsal measurement and remediation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
176,DAY_176,18,Lighting Capstone and Professional Readiness,Operations and measurement,Rehearsal Measurement And Remediation — Operations and Measurement,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for rehearsal measurement and remediation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
177,DAY_177,18,Lighting Capstone and Professional Readiness,Troubleshooting laboratory,Show Defense Handover And Safe Strike — Troubleshooting and Failure Modes,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Explain and demonstrate show defense handover and safe strike through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
178,DAY_178,18,Lighting Capstone and Professional Readiness,Safety and quality review,"Show Defense Handover And Safe Strike — Safety, Quality, and Verification",capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Complete a supervised applied lab for show defense handover and safe strike, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
179,DAY_179,18,Lighting Capstone and Professional Readiness,Integration and documentation,"Lighting Capstone and Professional Readiness — Integration, Documentation, and Handover",capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Integrate the four lighting capstone and professional readiness skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
180,DAY_180,18,Lighting Capstone and Professional Readiness,Assessment and presentation,Lighting Capstone and Professional Readiness — Assessment Project,capstone,8,Beyond fixtures and controllers | free visualizer software | all assigned lighting tools | PPE | documentation | presentation tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete lighting capstone and professional readiness phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
